File Name: | myFD: | myX: | myY: 
Galaxea astreata - 1493 | 1.7141992635057335 | [6.460668059122921, 6.555484345773033, 6.6503006324231455, 6.745116919073258, 6.839933205723371, 6.934749492373483, 7.029565779023596, 7.124382065673708, 7.21919835232382, 7.314014638973934, 7.408830925624046, 7.503647212274158, 7.5984634989242705, 7.693279785574383, 7.788096072224495, 7.882912358874608, 7.977728645524721, 8.072544932174834, 8.167361218824945, 8.262177505475059, 8.35699379212517, 8.451810078775283, 8.546626365425395, 8.641442652075508, 8.736258938725621, 8.831075225375733, 8.925891512025846, 9.020707798675957, 9.11552408532607, 9.210340371976182] | [9.424564261115739, 9.621389858378247, 9.808297365532379, 10.008568028986636, 10.199174996326047, 10.387239982375185, 10.57785957776974, 10.766461892308339, 10.949876289700272, 11.137082263908574, 11.31757945705352, 11.50060993924758, 11.681967572206347, 11.859871233599103, 12.035551192851969, 12.209427013342747, 12.380920510400689, 12.548200288721674, 12.713775398206156, 12.875503299472802, 13.032357703797802, 13.18653183007501, 13.335167258082473, 13.47899252029421, 13.615735572345375, 13.71033113701892, 13.759259732141693, 13.803461255811271, 13.841744421241765, 13.87504847188045]
Goniopora lobata - 1032 | 1.5741724641523607 | [5.964904679992796, 6.0768162555784295, 6.188727831164064, 6.300639406749698, 6.412550982335332, 6.524462557920966, 6.6363741335065995, 6.748285709092234, 6.860197284677868, 6.972108860263502, 7.084020435849136, 7.1959320114347705, 7.307843587020404, 7.419755162606038, 7.531666738191673, 7.643578313777306, 7.7554898893629405, 7.867401464948574, 7.979313040534208, 8.091224616119842, 8.203136191705477, 8.31504776729111, 8.426959342876744, 8.53887091846238, 8.650782494048013, 8.762694069633646, 8.87460564521928, 8.986517220804915, 9.098428796390548, 9.210340371976182] | [10.04676504723975, 10.275361405649203, 10.49893921062262, 10.728846505404578, 10.953399672985048, 11.177886201152898, 11.39822143430925, 11.61902270917692, 11.83840897464876, 12.055586908255638, 12.270558040256562, 12.481284790609685, 12.690238022182003, 12.897608528647343, 13.100534859376607, 13.299866678357617, 13.497484735279865, 13.685979154705034, 13.870142672284002, 14.051014997748227, 14.224895307564589, 14.391976720423372, 14.540564268132785, 14.602868222976108, 14.653379534378395, 14.69729928206299, 14.734673162062856, 14.765754693503107, 14.79351256808867, 14.817119534287768]
Heliofungia actiniformis - 2490 | 0.9145111751333168 | [6.73377866896271, 6.819177348376967, 6.904576027791225, 6.989974707205483, 7.075373386619741, 7.160772066033998, 7.246170745448255, 7.331569424862513, 7.416968104276771, 7.502366783691029, 7.587765463105287, 7.6731641425195445, 7.758562821933801, 7.843961501348059, 7.929360180762317, 8.014758860176576, 8.100157539590832, 8.18555621900509, 8.270954898419348, 8.356353577833605, 8.441752257247863, 8.527150936662121, 8.612549616076379, 8.697948295490637, 8.783346974904894, 8.868745654319152, 8.95414433373341, 9.039543013147668, 9.124941692561926, 9.210340371976182] | [9.365718869155696, 9.551871220788255, 9.722804652410682, 9.897922094063247, 10.066371415437608, 10.226295426963283, 10.380497827807389, 10.527847197669088, 10.66345190613339, 10.792242634215762, 10.911317727550735, 11.022082190911469, 11.121718228608763, 11.207825918481378, 11.286689637494428, 11.360601449109378, 11.42122675594764, 11.475607739985847, 11.521409374618539, 11.56021927206037, 11.59217093185484, 11.621788838451959, 11.644146691214054, 11.663739154662492, 11.678151726335546, 11.69005858507506, 11.70033406081274, 11.708541589402186, 11.714395840602943, 11.718987962145981]
Herpolitha limax - 2485 | 1.632758590973613 | [6.829686104573106, 6.911777631035281, 6.993869157497456, 7.075960683959631, 7.158052210421806, 7.240143736883981, 7.3222352633461565, 7.404326789808332, 7.486418316270506, 7.568509842732682, 7.650601369194857, 7.732692895657032, 7.814784422119207, 7.896875948581382, 7.978967475043557, 8.061059001505733, 8.143150527967906, 8.225242054430081, 8.307333580892257, 8.389425107354432, 8.471516633816607, 8.553608160278783, 8.635699686740958, 8.717791213203132, 8.799882739665307, 8.881974266127482, 8.964065792589658, 9.046157319051833, 9.128248845514008, 9.210340371976182] | [9.991315262901649, 10.167389096322506, 10.339158502701359, 10.50843173731979, 10.679780314182743, 10.853058309645082, 11.021395804220033, 11.189630031705578, 11.352052239382143, 11.51124405218769, 11.677125480650488, 11.835870911396631, 11.988420240240243, 12.145430523560613, 12.294760949025612, 12.442992861303734, 12.589973575722498, 12.729359307071421, 12.868652365323555, 13.004318307419949, 13.138079233844332, 13.265583680576094, 13.385084501266855, 13.458849899637787, 13.495944208115011, 13.534993422603844, 13.566309181330732, 13.594706767274097, 13.619895837271333, 13.642279160201557]
Hydnophora exesa - 1579 | 1.877461744461996 | [6.821945801787729, 6.9043042352425035, 6.986662668697278, 7.069021102152052, 7.151379535606826, 7.2337379690616, 7.316096402516375, 7.398454835971149, 7.480813269425924, 7.563171702880697, 7.645530136335472, 7.727888569790246, 7.810247003245021, 7.892605436699794, 7.974963870154569, 8.057322303609343, 8.139680737064117, 8.222039170518892, 8.304397603973666, 8.386756037428441, 8.469114470883214, 8.551472904337988, 8.633831337792763, 8.716189771247537, 8.798548204702312, 8.880906638157086, 8.96326507161186, 9.045623505066635, 9.127981938521408, 9.210340371976182] | [9.275191344295799, 9.452972775874239, 9.622185087048386, 9.797904789961063, 9.969181655731491, 10.134599273499514, 10.30440902059442, 10.47200644708059, 10.638568109802293, 10.802611779488373, 10.966852556850178, 11.130097199267592, 11.29055661349859, 11.449495662310445, 11.608053810061806, 11.766241222588247, 11.920361961947135, 12.074459412061556, 12.22528195959596, 12.376730613014807, 12.526306609275677, 12.670469963741487, 12.814075795432677, 12.95398022810773, 13.093673737331889, 13.227560879776211, 13.358347336698392, 13.485540138645154, 13.606645827347252, 13.701822127956905]
Hydonphora exesa - 1027 | 1.4978765995985048 | [5.928020914501765, 6.041204344069848, 6.154387773637931, 6.267571203206015, 6.3807546327740985, 6.493938062342182, 6.607121491910266, 6.720304921478348, 6.833488351046432, 6.9466717806145155, 7.059855210182599, 7.173038639750682, 7.286222069318765, 7.399405498886849, 7.5125889284549325, 7.625772358023015, 7.738955787591099, 7.852139217159182, 7.965322646727266, 8.07850607629535, 8.191689505863433, 8.304872935431517, 8.418056364999599, 8.531239794567682, 8.644423224135766, 8.75760665370385, 8.870790083271933, 8.983973512840016, 9.0971569424081, 9.210340371976182] | [10.782284079982702, 11.023632996416657, 11.263232578422482, 11.500225156391997, 11.735372773963995, 11.968424408013082, 12.19947090189561, 12.429500156524018, 12.655012227223617, 12.87687963189266, 13.096686530614345, 13.312859762386294, 13.524769143828765, 13.732704870107357, 13.936940269740855, 14.1334827186009, 14.321648411283391, 14.505541387743344, 14.684846360594703, 14.855252144133159, 15.019204523418265, 15.132159245282425, 15.188934955247541, 15.236796751188077, 15.27729265321411, 15.311373642800843, 15.34148207525638, 15.367132263789603, 15.389453097540093, 15.409116401990023]
Leptoria phrygia - 1556 | 1.9622932028437599 | [6.644960986474037, 6.733422344594801, 6.8218837027155645, 6.9103450608363275, 6.998806418957091, 7.087267777077855, 7.175729135198619, 7.264190493319382, 7.352651851440146, 7.44111320956091, 7.529574567681673, 7.618035925802437, 7.7064972839232, 7.794958642043964, 7.883420000164728, 7.971881358285492, 8.060342716406256, 8.14880407452702, 8.237265432647783, 8.325726790768545, 8.414188148889309, 8.502649507010073, 8.591110865130837, 8.6795722232516, 8.768033581372364, 8.856494939493128, 8.944956297613892, 9.033417655734656, 9.12187901385542, 9.210340371976182] | [8.996528148090857, 9.192685436737461, 9.373648989588206, 9.555276687009526, 9.741027444837728, 9.9281801651265, 10.110054467445536, 10.29583364815114, 10.475483531531923, 10.660266593340847, 10.840541234762362, 11.020070726525475, 11.199460519143054, 11.376315051307444, 11.555486746054303, 11.730026798798168, 11.906021051675385, 12.080724818856513, 12.249481690747125, 12.419287065766499, 12.587286043836047, 12.75478347567252, 12.918738099235998, 13.081512215792051, 13.240636959389851, 13.399604128486823, 13.553257087358917, 13.702403448107617, 13.849032370881652, 13.994545887690688]
Leptoseris gardineri - 1538 | 1.859516263062332 | [6.251070304072099, 6.353114099517067, 6.455157894962036, 6.5572016904070045, 6.659245485851973, 6.761289281296941, 6.86333307674191, 6.965376872186878, 7.067420667631847, 7.169464463076815, 7.271508258521783, 7.373552053966752, 7.47559584941172, 7.5776396448566885, 7.679683440301657, 7.781727235746626, 7.883771031191594, 7.985814826636562, 8.08785862208153, 8.189902417526499, 8.291946212971467, 8.393990008416436, 8.496033803861405, 8.598077599306373, 8.70012139475134, 8.802165190196309, 8.904208985641278, 9.006252781086246, 9.108296576531215, 9.210340371976182] | [8.409830673087738, 8.62748154531036, 8.846353043314327, 9.06843112579349, 9.29053691397046, 9.507180382212729, 9.719805070102831, 9.936099940263604, 10.146355296698067, 10.356090667101697, 10.568440998725292, 10.77605625551905, 10.983969814331768, 11.18637781629658, 11.395132429263844, 11.596365472204067, 11.793356310707816, 11.9914241587618, 12.183576493952227, 12.371286191286446, 12.556877393533034, 12.736583242612562, 12.912210086128363, 13.079837849361107, 13.242023760851177, 13.399111390300485, 13.481125341999602, 13.530022077828699, 13.572669273852265, 13.61011728421856]
Lobophyllia pachysepta - 1519 | 1.968162861737233 | [6.580176775990426, 6.6708720724037285, 6.76156736881703, 6.852262665230332, 6.942957961643634, 7.033653258056936, 7.124348554470238, 7.21504385088354, 7.305739147296841, 7.3964344437101435, 7.487129740123446, 7.577825036536748, 7.66852033295005, 7.759215629363352, 7.849910925776654, 7.940606222189955, 8.031301518603257, 8.12199681501656, 8.212692111429861, 8.303387407843163, 8.394082704256466, 8.484778000669767, 8.57547329708307, 8.666168593496371, 8.756863889909672, 8.847559186322975, 8.938254482736276, 9.02894977914958, 9.11964507556288, 9.210340371976182] | [9.224933374279082, 9.428350771178645, 9.622052592844813, 9.820214633342307, 10.020381304007627, 10.213395783746074, 10.412200947115844, 10.607055250423958, 10.800371178885054, 10.996936534247357, 11.18925691026404, 11.381928002089515, 11.571731964415148, 11.762212283483509, 11.94672532550566, 12.131661550516283, 12.313217069077735, 12.492025724133166, 12.668944655121194, 12.842146702730481, 13.013222391431817, 13.177470689171855, 13.33849198140856, 13.494489534168252, 13.646599477423784, 13.79554557748953, 13.939803910995966, 14.078620698043533, 14.212464212871474, 14.25079268739975]
Merulina ampliata - 1568 | 1.8696743648762892 | [6.466418005795025, 6.5610360184219605, 6.655654031048898, 6.7502720436758334, 6.844890056302771, 6.939508068929707, 7.034126081556643, 7.12874409418358, 7.223362106810517, 7.317980119437453, 7.41259813206439, 7.507216144691326, 7.601834157318263, 7.696452169945199, 7.791070182572136, 7.885688195199072, 7.9803062078260085, 8.074924220452944, 8.169542233079882, 8.264160245706819, 8.358778258333755, 8.45339627096069, 8.548014283587628, 8.642632296214565, 8.7372503088415, 8.831868321468438, 8.926486334095374, 9.02110434672231, 9.115722359349247, 9.210340371976182] | [9.23366619727968, 9.434283603460957, 9.638544967053836, 9.838308826511133, 10.03819325538842, 10.233438572167076, 10.432526305721476, 10.629101923233575, 10.822474645958026, 11.018104415345954, 11.214667666146262, 11.404839015105171, 11.59940586768463, 11.7880996387788, 11.977652698490562, 12.16256475555324, 12.345995444532429, 12.525329690269542, 12.701451581107138, 12.872770609073175, 13.04428074752263, 13.209492914079494, 13.369990348697954, 13.526771927551653, 13.678677721566675, 13.823959762691175, 13.963664148286933, 14.04254971155723, 14.090371033922064, 14.130459244493606]
