File Name:,File number:,Surface Area (mm^2),myFD,FileFD,minScale,boundVolume,SA_BoundVolume_Ratio,numVertices,boundLength,boundWidth,boundHeight,myX,myY
Millepora,1381,8736.922936,2.003136774,2.068972488,0.095767,558880.8096,0.01563289128,936639,61.36788,98.9772,92.01167,"[2.790868707743557, 3.1710287715442718, 3.5511888353449863, 3.9313488991457004, 4.311508962946414, 4.691669026747129, 5.071829090547843, 5.451989154348558, 5.832149218149272, 6.212309281949986, 6.5924693457507, 6.972629409551415, 7.3527894733521295, 7.732949537152844, 8.113109600953559, 8.493269664754273, 8.873429728554987, 9.253589792355701, 9.633749856156415, 10.01390991995713, 10.394069983757845, 10.774230047558559, 11.154390111359273, 11.534550175159987, 11.914710238960701, 12.294870302761415, 12.67503036656213, 13.055190430362845, 13.43535049416356, 13.815510557964274]","[1.0986122886681098, 1.791759469228055, 2.4849066497880004, 3.258096538021482, 3.9512437185814275, 4.736198448394496, 5.598421958998375, 6.363028103540465, 7.180069874302796, 7.952966790923131, 8.718500048121273, 9.483340185641822, 10.233797987043532, 10.971949864253354, 11.700342351827354, 12.395328438177026, 13.024679983754417, 13.378273009324202, 13.512820425885218, 13.594555859363181, 13.645852084823712, 13.680427104373155, 13.702908328724154, 13.717940727070312, 13.728396993935545, 13.735229571904698, 13.740083100287668, 13.743204346280248, 13.745403494567412, 13.74692438947673]"
Montipora aequituberculata,1992,36353.79236,2.145716747,2.19145173,0.4776319847,4706957.268,0.007723416699,129223,169.305294,151.210022,183.860798,"[1.8865439356438818, 2.297887612275619, 2.709231288907357, 3.120574965539095, 3.5319186421708326, 3.9432623188025704, 4.354605995434308, 4.7659496720660455, 5.177293348697783, 5.588637025329521, 5.999980701961259, 6.4113243785929965, 6.822668055224734, 7.234011731856471, 7.645355408488209, 8.056699085119947, 8.468042761751684, 8.879386438383422, 9.29073011501516, 9.702073791646898, 10.113417468278636, 10.524761144910373, 10.936104821542111, 11.347448498173849, 11.758792174805587, 12.170135851437323]","[0.0, 1.3862943611198906, 1.9459101490553132, 2.995732273553991, 3.9512437185814275, 4.962844630259907, 5.82600010738045, 6.7912214627261855, 7.762596048540069, 8.70167907103957, 9.544166252942194, 10.301189270026459, 10.951525586491304, 11.41392247512822, 11.650153765601537, 11.738138872652996, 11.765309321209156, 11.768358068581506, 11.768954318420102, 11.769101390334663, 11.769155569272227, 11.769217484463914, 11.769256179512112, 11.769279395822347, 11.769287134472648, 11.769279395822347]"
Montipora informis,1490,34857.50378,2.229877444,2.204179879,0.151664,1212333.926,0.02875239488,1191286,73.28988,96.19127,171.966,"[2.613332742376869, 2.999614736017814, 3.385896729658759, 3.7721787232997035, 4.158460716940649, 4.544742710581594, 4.931024704222539, 5.317306697863484, 5.703588691504429, 6.089870685145374, 6.476152678786319, 6.862434672427264, 7.2487166660682085, 7.6349986597091535, 8.021280653350098, 8.407562646991042, 8.793844640631988, 9.180126634272934, 9.566408627913878, 9.952690621554824, 10.338972615195768, 10.725254608836714, 11.111536602477658, 11.497818596118604, 11.884100589759548, 12.270382583400494, 12.656664577041438, 13.042946570682384, 13.429228564323328, 13.815510557964274]","[0.6931471805599453, 1.6094379124341003, 2.4849066497880004, 3.6635616461296463, 4.553876891600541, 5.497168225293202, 6.495265555937008, 7.411556287811163, 8.283241441385425, 9.104979856318357, 9.883488906029438, 10.650317670012258, 11.404493570787915, 12.127543375365452, 12.811423595729098, 13.430153912732761, 13.679722907617826, 13.787181039843306, 13.858770218959943, 13.902523684952373, 13.931364623241869, 13.950716048504582, 13.963948666366958, 13.972630539334912, 13.978167527934025, 13.982214119662983, 13.984935138473086, 13.986704599628787, 13.987881942238381, 13.98873755096529]"
Oulophyllia crispa,1585,21345.12231,1.965267314,2.14465735,0.2534981806,1273134.013,0.01676580948,126575,95.425003,126.551701,105.425083,"[2.2497772960446936, 2.648595684386748, 3.0474140727288024, 3.446232461070857, 3.8450508494129116, 4.243869237754966, 4.642687626097021, 5.041506014439076, 5.44032440278113, 5.839142791123185, 6.237961179465239, 6.636779567807293, 7.035597956149348, 7.434416344491403, 7.833234732833458, 8.232053121175513, 8.630871509517567, 9.02968989785962, 9.428508286201675, 9.82732667454373, 10.226145062885784, 10.624963451227838, 11.023781839569894, 11.422600227911948, 11.821418616254004, 12.220237004596058, 12.619055392938114, 13.017873781280166, 13.416692169622221, 13.815510557964274]","[1.3862943611198906, 2.302585092994046, 2.9444389791664403, 3.7612001156935624, 4.700480365792417, 5.572154032177765, 6.437751649736401, 7.288927694521257, 8.14351740579748, 8.977651407818442, 9.791829470993246, 10.589660469358737, 11.350147678442452, 12.060185230696067, 12.68984665143952, 12.931369928206413, 13.042161490395767, 13.110223992319298, 13.152911980893096, 13.180003786177165, 13.198335040378366, 13.210269853673045, 13.218246120535712, 13.223610444420613, 13.22723677443914, 13.229639856431554, 13.231318225702298, 13.23252276005886, 13.233256957390353, 13.233761629194385]"
Oxypora glabra,1510,31857.99754,2.287803704,2.254275036,0.098199,525813.3667,0.06058803286,3101725,65.2018,102.49002,78.68473,"[2.730268203068643, 3.1125179394443543, 3.494767675820066, 3.877017412195777, 4.259267148571489, 4.6415168849472, 5.0237666213229115, 5.406016357698623, 5.788266094074334, 6.170515830450046, 6.552765566825758, 6.935015303201468, 7.3172650395771806, 7.699514775952892, 8.081764512328602, 8.464014248704315, 8.846263985080027, 9.228513721455737, 9.61076345783145, 9.99301319420716, 10.375262930582872, 10.757512666958583, 11.139762403334295, 11.522012139710007, 11.904261876085718, 12.28651161246143, 12.66876134883714, 13.051011085212853, 13.433260821588563, 13.815510557964274]","[0.0, 1.0986122886681098, 2.1972245773362196, 3.258096538021482, 4.07753744390572, 5.043425116919247, 5.8944028342648505, 6.84587987526405, 7.77485576666552, 8.700347734514084, 9.634758073001034, 10.516996110435857, 11.362021176574027, 12.165708879340613, 12.920841875664696, 13.621406256471893, 14.25050404713929, 14.596616874581636, 14.724020296270716, 14.800678634652431, 14.849764931406805, 14.881742551052774, 14.903065943754163, 14.917429041807505, 14.92713646761649, 14.933625428919562, 14.938106264714337, 14.941116873975727, 14.943202893512169, 14.944608080445072]"
Oxypora glabra,1599,9052.958986,2.036576324,2.113701258,0.082781,245254.0442,0.0369125778,816387,43.152038,105.96518,53.63542,"[3.1430256319770677, 3.5110423535628335, 3.8790590751485996, 4.247075796734364, 4.615092518320131, 4.983109239905897, 5.351125961491662, 5.719142683077428, 6.087159404663193, 6.455176126248959, 6.823192847834725, 7.19120956942049, 7.559226291006256, 7.9272430125920215, 8.295259734177789, 8.663276455763553, 9.031293177349319, 9.399309898935085, 9.76732662052085, 10.135343342106616, 10.503360063692382, 10.871376785278148, 11.239393506863912, 11.607410228449679, 11.975426950035445, 12.34344367162121, 12.711460393206975, 13.079477114792743, 13.44749383637851, 13.815510557964274]","[1.6094379124341003, 2.5649493574615367, 2.772588722239781, 3.784189633918261, 4.477336814478207, 5.093750200806762, 5.937536205082426, 6.759255270663693, 7.557994958530806, 8.3707791729607, 9.156517565278676, 9.929886026390658, 10.66681356771732, 11.379805416303608, 12.063465910566931, 12.694103429794751, 13.197487547339858, 13.346244256825349, 13.436565172751205, 13.493977967017356, 13.531596046001624, 13.557294079526791, 13.574595016214595, 13.586416839463563, 13.594680578278089, 13.600115658159279, 13.604046040454701, 13.606728386585093, 13.608608152334147, 13.609866739220474]"
Pachyseris rugosa,1536,41884.23911,2.164275812,2.230835705,0.237267,1158705.667,0.03614743615,641077,83.20209,128.12242,108.69605,"[2.486482811278173, 2.877138940474245, 3.267795069670318, 3.6584511988663904, 4.049107328062463, 4.439763457258535, 4.830419586454608, 5.22107571565068, 5.611731844846752, 6.002387974042824, 6.393044103238896, 6.78370023243497, 7.174356361631042, 7.5650124908271135, 7.955668620023187, 8.346324749219258, 8.73698087841533, 9.127637007611405, 9.518293136807475, 9.908949266003548, 10.29960539519962, 10.690261524395693, 11.080917653591765, 11.471573782787837, 11.862229911983912, 12.252886041179982, 12.643542170376055, 13.034198299572127, 13.4248544287682, 13.815510557964274]","[0.6931471805599453, 1.9459101490553132, 2.4849066497880004, 3.58351893845611, 4.406719247264253, 5.402677381872279, 6.327936783729195, 7.215975002651466, 8.164510268747042, 9.06009870864564, 9.884049858643653, 10.652636923211357, 11.38938966384362, 12.077591336881623, 12.705456056139804, 13.02921026944683, 13.151632817396306, 13.227868682579647, 13.276161995265046, 13.307713676258293, 13.328839190518806, 13.342499210064203, 13.351870637305007, 13.358013988353397, 13.36228223319553, 13.36500519597641, 13.366939599321006, 13.368262055839425, 13.369062504884026, 13.369671792317808]"
Pachyseris speciosa,1539 (X),8613.025667,2.109789566,2.18320251,0.083695,209293.0593,0.04115294457,1205510,44.31238,87.95702,53.69814,"[3.1164911827329496, 3.485422885327133, 3.8543545879213164, 4.2232862905155, 4.592217993109684, 4.961149695703868, 5.330081398298051, 5.699013100892235, 6.0679448034864185, 6.436876506080602, 6.805808208674786, 7.174739911268969, 7.543671613863153, 7.912603316457337, 8.28153501905152, 8.650466721645705, 9.019398424239887, 9.38833012683407, 9.757261829428256, 10.126193532022437, 10.495125234616623, 10.864056937210806, 11.232988639804988, 11.601920342399172, 11.970852044993356, 12.339783747587541, 12.708715450181725, 13.077647152775908, 13.44657885537009, 13.815510557964274]","[1.0986122886681098, 1.791759469228055, 2.70805020110221, 3.4965075614664802, 4.248495242049359, 5.10594547390058, 5.932245187448011, 6.8001700683022, 7.640123172695364, 8.440312147080279, 9.198773735604718, 9.942323576321327, 10.66066531275321, 11.367680015613487, 12.048125601957862, 12.695569417912298, 13.288643624270707, 13.62354706675808, 13.755990887963677, 13.838640975353128, 13.891394167027016, 13.927118120131075, 13.950890740522999, 13.967061862340486, 13.977786707993499, 13.98552165098114, 13.990812535055314, 13.994356916579294, 13.996940884397073, 13.998527706111794]"
Pachyseris speciosa,1572,14955.46872,2.193392186,2.173308311,0.090302,329559.0806,0.04538023561,1515869,60.17451,102.86211,53.24334,"[2.9328825526370954, 3.30814558730355, 3.683408621970005, 4.058671656636459, 4.433934691302913, 4.8091977259693675, 5.184460760635822, 5.559723795302277, 5.934986829968731, 6.3102498646351854, 6.68551289930164, 7.060775933968094, 7.436038968634549, 7.811302003301004, 8.186565037967458, 8.561828072633913, 8.937091107300366, 9.312354141966821, 9.687617176633276, 10.06288021129973, 10.438143245966184, 10.81340628063264, 11.188669315299094, 11.563932349965548, 11.939195384632002, 12.314458419298457, 12.689721453964912, 13.064984488631366, 13.44024752329782, 13.815510557964274]","[0.6931471805599453, 1.6094379124341003, 2.3978952727983707, 3.2188758248682006, 4.248495242049359, 5.209486152841421, 6.131226489483141, 7.042286171939743, 7.873978379604501, 8.671972245203792, 9.465060106725137, 10.229332086082257, 10.968801555802724, 11.688004188994599, 12.37924833946646, 13.031232253170364, 13.61814196012743, 13.883710181579975, 14.006439960723261, 14.08175804219575, 14.130627820164595, 14.16351603039916, 14.184913160527223, 14.199742496037745, 14.209799444121732, 14.216418631879824, 14.221408239165873, 14.224573851498688, 14.226847725071908, 14.228255768369728]"
Pavona cactus,1543,6411.117763,2.126407905,2.192543939,0.040471,157435.873,0.04072208983,3493958,61.20777,45.78438,56.17975,"[3.0838122940670396, 3.4538708548910826, 3.8239294157151247, 4.193987976539168, 4.56404653736321, 4.934105098187253, 5.304163659011295, 5.674222219835338, 6.04428078065938, 6.414339341483423, 6.784397902307465, 7.154456463131508, 7.5245150239555505, 7.894573584779593, 8.264632145603635, 8.634690706427678, 9.004749267251722, 9.374807828075763, 9.744866388899807, 10.114924949723848, 10.484983510547892, 10.855042071371933, 11.225100632195977, 11.595159193020018, 11.965217753844062, 12.335276314668103, 12.705334875492145, 13.075393436316189, 13.44545199714023, 13.815510557964274]","[0.6931471805599453, 1.0986122886681098, 2.0794415416798357, 2.8903717578961645, 3.784189633918261, 4.543294782270004, 5.501258210544727, 6.3835066348840055, 7.233455418621439, 8.061486866871327, 8.833899942908635, 9.588434283288215, 10.32980049315713, 11.060918912426148, 11.7802925789066, 12.481022759487244, 13.159637967318407, 13.801371064810553, 14.38612393582351, 14.715937319838154, 14.8383689565961, 14.914665032956144, 14.964358632054383, 14.9968999662379, 15.018989040133143, 15.033879932568777, 15.044114021742013, 15.051054701127528, 15.055861384978657, 15.059240277815148]"
Pavona frondifera,1564,6552.715337,2.030155855,2.131889172,0.059968,198367.772,0.03303316497,1253679,55.191902,73.85086,48.66763,"[3.022741151617271, 3.394905613905099, 3.7670700761929266, 4.139234538480754, 4.511399000768582, 4.88356346305641, 5.255727925344237, 5.627892387632065, 6.0000568499198925, 6.372221312207721, 6.744385774495549, 7.116550236783376, 7.4887146990712035, 7.860879161359032, 8.233043623646859, 8.605208085934688, 8.977372548222515, 9.349537010510343, 9.72170147279817, 10.093865935085997, 10.466030397373826, 10.838194859661654, 11.21035932194948, 11.582523784237308, 11.954688246525137, 12.326852708812964, 12.699017171100792, 13.071181633388619, 13.443346095676446, 13.815510557964274]","[1.0986122886681098, 1.3862943611198906, 2.4849066497880004, 3.1780538303479458, 3.9889840465642745, 4.736198448394496, 5.602118820879701, 6.411818267709897, 7.244941546337007, 8.022568946988255, 8.7879833961978, 9.533293058509884, 10.272565263191902, 10.993697977523398, 11.698433605874474, 12.37731640278361, 13.012807406452334, 13.572669273852265, 13.744264793475724, 13.846865803886612, 13.911306074519118, 13.953205147446, 13.981568069290073, 14.000516840986794, 14.013467574728741, 14.022218176301589, 14.028372635603583, 14.032503231353964, 14.035420888047367, 14.037359671855732]"
Pectinia paeonia,1549 (X),8179.784026,2.126057777,2.248710333,0.071919,64869.39181,0.1260962034,2749124,32.710309,64.56233,30.716801,"[3.4829455102395825, 3.8392408567128475, 4.195536203186113, 4.551831549659378, 4.908126896132644, 5.264422242605909, 5.620717589079174, 5.977012935552439, 6.333308282025705, 6.68960362849897, 7.045898974972236, 7.4021943214455, 7.758489667918766, 8.11478501439203, 8.471080360865296, 8.827375707338561, 9.183671053811826, 9.539966400285092, 9.896261746758357, 10.252557093231623, 10.608852439704888, 10.965147786178154, 11.321443132651417, 11.677738479124685, 12.034033825597948, 12.390329172071214, 12.746624518544479, 13.102919865017745, 13.45921521149101, 13.815510557964274]","[1.3862943611198906, 2.4849066497880004, 3.2188758248682006, 3.912023005428146, 4.74493212836325, 5.4638318050256105, 6.2878585601617845, 7.095064377287131, 7.933796874815411, 8.738895704934043, 9.506288188844996, 10.250086907777256, 10.976935867540687, 11.678456852456709, 12.353297971786516, 12.98636036140512, 13.580131203593814, 14.0332040848387, 14.4471051550345, 14.57827474852953, 14.660225800548956, 14.714265635017323, 14.748995026741545, 14.772932484551378, 14.78947945747186, 14.800811547840901, 14.808692698920673, 14.814031388043402, 14.817936416366065, 14.820578906108729]"
Pectinia paeonia,1573,11215.60333,2.187797341,2.23030285,0.078108,137454.8931,0.08159479142,1452124,57.54459,63.70069,37.498299,"[3.2834597070345675, 3.6466338743080056, 4.0098080415814445, 4.372982208854882, 4.736156376128321, 5.099330543401758, 5.462504710675197, 5.8256788779486355, 6.188853045222073, 6.552027212495511, 6.915201379768949, 7.278375547042387, 7.6415497143158255, 8.004723881589262, 8.367898048862703, 8.73107221613614, 9.094246383409578, 9.457420550683016, 9.820594717956453, 10.183768885229894, 10.54694305250333, 10.910117219776769, 11.273291387050207, 11.636465554323644, 11.999639721597083, 12.362813888870523, 12.72598805614396, 13.089162223417398, 13.452336390690837, 13.815510557964274]","[0.6931471805599453, 1.9459101490553132, 2.6390573296152584, 3.6888794541139363, 4.465908118654584, 5.365976015021851, 6.257667587882639, 7.108244139731541, 7.9420068084898565, 8.757469141470748, 9.537843938614635, 10.305914717430841, 11.040711394498347, 11.751052205586449, 12.42483059413183, 13.05500488387951, 13.623062298764603, 13.868082135000328, 13.979345620978238, 14.046976977919297, 14.092037138648116, 14.122205975722903, 14.142877899108239, 14.156818227869097, 14.166420918573154, 14.173325551799097, 14.177985350219442, 14.181271102549111, 14.183473848105354, 14.185020973662285]"
Platygyra verweyi,1993,76358.91353,2.04945016,2.056033776,0.084817,2559727.67,0.02983087398,4430112,139.89278,121.391,150.73426,"[2.1087385381954906, 2.512420331980621, 2.9161021257657516, 3.319783919550882, 3.7234657133360125, 4.127147507121143, 4.530829300906273, 4.934511094691404, 5.338192888476534, 5.741874682261665, 6.145556476046795, 6.549238269831926, 6.952920063617056, 7.356601857402187, 7.760283651187317, 8.163965444972447, 8.567647238757578, 8.971329032542709, 9.37501082632784, 9.77869262011297, 10.1823744138981, 10.58605620768323, 10.98973800146836, 11.393419795253491, 11.797101589038622, 12.200783382823753, 12.604465176608883, 13.008146970394014, 13.411828764179143, 13.815510557964274]","[0.0, 1.3862943611198906, 2.4849066497880004, 3.4657359027997265, 4.543294782270004, 5.517452896464707, 6.434546518787453, 7.277938572945661, 8.126222529458525, 8.936824154997302, 9.764168012286715, 10.570803973061551, 11.36612934064356, 12.150618073444761, 12.912212553859693, 13.646607765493403, 14.327923920605539, 14.889521363222956, 15.048532811532567, 15.141682233776521, 15.198391600334018, 15.234886634786156, 15.258167057647752, 15.273683157227579, 15.283793808639654, 15.29051541425459, 15.294960734456497, 15.298053976187049, 15.29999889130465, 15.301343645968453]"
Polyphyllia talpina,2502,146244.212,2.102919161,2.254517138,0.157982,9622719.497,0.01519780475,3053802,212.17812,205.73252,220.44197,"[1.5811784005067093, 2.0030519231776593, 2.4249254458486105, 2.8467989685195607, 3.2686724911905114, 3.6905460138614616, 4.112419536532412, 4.534293059203363, 4.956166581874314, 5.378040104545264, 5.799913627216215, 6.221787149887166, 6.6436606725581155, 7.065534195229066, 7.487407717900017, 7.909281240570968, 8.331154763241917, 8.753028285912867, 9.174901808583819, 9.596775331254769, 10.01864885392572, 10.44052237659667, 10.862395899267622, 11.284269421938573, 11.706142944609521, 12.128016467280473, 12.549889989951424, 12.971763512622372, 13.393637035293324, 13.815510557964274]","[0.6931471805599453, 1.791759469228055, 2.3978952727983707, 3.367295829986474, 4.2626798770413155, 5.231108616854587, 6.194405391104672, 7.21081845347222, 8.164225652265827, 9.057771773331575, 9.93212359907246, 10.797021297287667, 11.643462378614423, 12.466866446696244, 13.249218030125192, 13.968724227505906, 14.515133723991555, 14.680059052585847, 14.773777050514461, 14.830706454479708, 14.866441267755146, 14.889363856839095, 14.904167119097988, 14.913779120898795, 14.919997225301174, 14.924201222092773, 14.926823517243884, 14.928586738403183, 14.929759291088551, 14.930518369143721]"
Porites cylindrica,1376,14532.16287,2.090078033,2.058211407,0.068403,663378.9734,0.02190627598,1924070,85.04062,113.29593,68.8527,"[2.6757858388901137, 3.059914277478878, 3.444042716067642, 3.8281711546564066, 4.21229959324517, 4.596428031833935, 4.980556470422698, 5.364684909011463, 5.748813347600227, 6.132941786188991, 6.517070224777755, 6.901198663366519, 7.285327101955283, 7.669455540544048, 8.053583979132812, 8.437712417721576, 8.82184085631034, 9.205969294899104, 9.590097733487868, 9.974226172076632, 10.358354610665396, 10.74248304925416, 11.126611487842924, 11.510739926431688, 11.894868365020452, 12.278996803609218, 12.663125242197982, 13.047253680786744, 13.43138211937551, 13.815510557964274]","[0.0, 1.3862943611198906, 2.302585092994046, 3.091042453358316, 3.9889840465642745, 4.852030263919617, 5.765191102784844, 6.635946555686647, 7.463363045520021, 8.279443487712665, 9.082279701908664, 9.862144589001746, 10.634267647902924, 11.388212220796587, 12.125009000210444, 12.832171491336991, 13.497099825921266, 14.043101803605714, 14.200438208854871, 14.294734672582827, 14.354605220545595, 14.392367712773666, 14.417726507115509, 14.43470167790828, 14.44623484453515, 14.453717274977754, 14.458871728665025, 14.46246509786772, 14.464973317834922, 14.466534376759482]"
