File Name: | Surface Area (mm^2) | Volume (mm^3) | myFD | OnlineFD | FileFD | numVertices | boundLength | boundWidth | boundHeight | myX | myY
Galaxea astreata - 1493 | 23703.118763445844 | 95307.0070266755 | 2.1770478392861645 | 0 | 2.185216728552547 | 1406192 | 86.06517 | 88.79625999999999 | 61.132905 | [2.7947050143955035, 3.1747327917599435, 3.554760569124384, 3.9347883464888245, 4.314816123853265, 4.6948439012177055, 5.074871678582145, 5.454899455946586, 5.834927233311026, 6.2149550106754665, 6.594982788039907, 6.9750105654043475, 7.355038342768788, 7.735066120133228, 8.115093897497669, 8.495121674862109, 8.87514945222655, 9.25517722959099, 9.635205006955431, 10.01523278431987, 10.39526056168431, 10.77528833904875, 11.155316116413191, 11.535343893777632, 11.915371671142072, 12.295399448506513, 12.675427225870953, 13.055455003235394, 13.435482780599834, 13.815510557964274] | [0.6931471805599453, 1.791759469228055, 2.6390573296152584, 3.6375861597263857, 4.543294782270004, 5.501258210544727, 6.352629396319567, 7.214504414151143, 8.073714641109857, 8.898228985601227, 9.696155832738006, 10.468261443129174, 11.217896469855393, 11.939049043186937, 12.625703609111238, 13.257107534332844, 13.735571928207778, 13.889029571001334, 13.981486754222091, 14.039962053546338, 14.078350862952648, 14.103323621836305, 14.120347638211873, 14.131895240987378, 14.139699086380698, 14.144945231787402, 14.148688803921605, 14.151075954959268, 14.152819587233985, 14.153942302067538]
Goniopora lobata - 1032 | 121052.48704324517 | 1450374.2193343018 | 2.2339201315843162 | 0 | 2.1188790297813362 | 3265314 | 177.47003999999998 | 164.77436 | 170.23319 | [1.8031782561352545, 2.2173966113707384, 2.631614966606221, 3.045833321841705, 3.460051677077188, 3.8742700323126718, 4.288488387548155, 4.702706742783639, 5.116925098019122, 5.5311434532546055, 5.945361808490089, 6.359580163725572, 6.773798518961056, 7.188016874196539, 7.602235229432023, 8.016453584667506, 8.43067193990299, 8.844890295138473, 9.259108650373957, 9.67332700560944, 10.087545360844922, 10.501763716080408, 10.91598207131589, 11.330200426551373, 11.744418781786857, 12.15863713702234, 12.572855492257823, 12.987073847493308, 13.401292202728792, 13.815510557964274] | [0.0, 0.6931471805599453, 2.1972245773362196, 3.044522437723423, 4.276666119016055, 5.327876168789581, 6.373319789577012, 7.348587530927593, 8.268731832117737, 9.14782646658694, 10.004915345166241, 10.845718898410636, 11.667713084765294, 12.46728239765084, 13.22645308592871, 13.930345251528484, 14.550653923413071, 14.72456074020959, 14.826949638366962, 14.888899735018953, 14.92743221606206, 14.952178779127875, 14.968185436312986, 14.978685742472889, 14.985637912489064, 14.990164020375753, 14.993082198457062, 14.995050393489473, 14.996327216230377, 14.997203090165442]
Heliofungia actiniformis - 2490 | 18927.992247575625 | 23114.289084415752 | 2.3966862309608343 | 0 | 2.282340134962676 | 124963 | 57.513617999999994 | 58.377622 | 35.40415 | [3.340926234075082, 3.702118796967812, 4.063311359860544, 4.424503922753274, 4.785696485646005, 5.1468890485387355, 5.508081611431466, 5.869274174324197, 6.230466737216927, 6.591659300109658, 6.9528518630023886, 7.31404442589512, 7.675236988787851, 8.03642955168058, 8.397622114573313, 8.758814677466043, 9.120007240358774, 9.481199803251503, 9.842392366144233, 10.203584929036966, 10.564777491929696, 10.925970054822427, 11.287162617715158, 11.648355180607888, 12.009547743500619, 12.37074030639335, 12.73193286928608, 13.09312543217881, 13.454317995071543, 13.815510557964274] | [1.0986122886681098, 1.6094379124341003, 2.70805020110221, 3.367295829986474, 4.477336814478207, 5.41610040220442, 6.410174881966167, 7.315883504509785, 8.21554741194707, 9.053335623166017, 9.824823061352445, 10.497587579494839, 11.023991787620336, 11.374536579520827, 11.577045148407535, 11.674695614202017, 11.714019707087466, 11.72828681334238, 11.732992288006441, 11.734515810684883, 11.734948388615734, 11.735196635871276, 11.735388784979573, 11.73544482151541, 11.735532872585088, 11.73554888103755, 11.73558890104756, 11.735620915902457, 11.735636922945556, 11.735628919456033]
Herpolitha limax - 2485 | 21777.760575835375 | 56887.90002306053 | 2.1848277051932175 | 0 | 2.220126454597113 | 1058879 | 126.02667 | 63.10473 | 29.224698 | [3.5327411052958744, 3.88731936228444, 4.241897619273005, 4.596475876261571, 4.951054133250136, 5.305632390238702, 5.6602106472272675, 6.014788904215832, 6.369367161204398, 6.723945418192963, 7.078523675181529, 7.433101932170094, 7.78768018915866, 8.142258446147226, 8.496836703135791, 8.851414960124355, 9.20599321711292, 9.560571474101488, 9.915149731090052, 10.269727988078618, 10.624306245067183, 10.978884502055749, 11.333462759044314, 11.68804101603288, 12.042619273021446, 12.397197530010011, 12.751775786998575, 13.10635404398714, 13.460932300975708, 13.815510557964274] | [2.3978952727983707, 3.258096538021482, 4.189654742026425, 4.997212273764115, 5.857933154483459, 6.650279048587422, 7.458186157340487, 8.226038429485484, 8.99949587624899, 9.763650607348328, 10.518348814697529, 11.243829593994127, 11.93814091142583, 12.587340684912489, 13.177924850145663, 13.520584981229932, 13.641611829351403, 13.71592334467829, 13.765758181016569, 13.7960789818201, 13.820956700769324, 13.83681499815119, 13.847119684039102, 13.855029303624532, 13.860150215925142, 13.863874917205939, 13.866559122407894, 13.868363884868076, 13.869663459774394, 13.87059042423123]
Hydnophora exesa - 1579 | 10060.218017864969 | 16788.765885022713 | 2.177339302141989 | 0 | 2.2374943637288895 | 1406146 | 45.093560000000004 | 87.09351 | 29.680634 | [3.5172604997251202, 3.872372570698884, 4.227484641672648, 4.582596712646412, 4.937708783620176, 5.2928208545939395, 5.647932925567703, 6.003044996541467, 6.358157067515231, 6.713269138488996, 7.06838120946276, 7.4234932804365235, 7.778605351410286, 8.13371742238405, 8.488829493357814, 8.843941564331578, 9.199053635305342, 9.554165706279106, 9.90927777725287, 10.264389848226633, 10.619501919200399, 10.974613990174163, 11.329726061147927, 11.68483813212169, 12.039950203095453, 12.395062274069216, 12.750174345042982, 13.105286416016746, 13.46039848699051, 13.815510557964274] | [1.0986122886681098, 2.302585092994046, 3.1354942159291497, 3.9318256327243257, 4.820281565605037, 5.7430031878094825, 6.618738983517219, 7.471363088187097, 8.273846932784508, 9.050288983827956, 9.796403329926454, 10.521048746139478, 11.228770498294605, 11.910559993963204, 12.567164321332942, 13.167166556482018, 13.695864037097339, 13.85746503098861, 13.956524759413908, 14.0198577595152, 14.062350323189499, 14.093860218611583, 14.110848251226932, 14.124619672929265, 14.134180992873574, 14.140882123773512, 14.145537065435425, 14.148842153645983, 14.151045927290914, 14.152636152529265]
Hydonphora exesa - 1027 | 290443.75652993366 | 1614565.380107207 | 2.283822131039331 | 0 | 2.3057865264500235 | 5714537 | 177.38891 | 211.49831 | 216.76943 | [1.729410725153192, 2.1461727883535744, 2.5629348515539565, 2.979696914754338, 3.3964589779547203, 3.8132210411551024, 4.229983104355485, 4.646745167555867, 5.063507230756249, 5.480269293956631, 5.897031357157013, 6.3137934203573955, 6.730555483557778, 7.14731754675816, 7.564079609958542, 7.980841673158924, 8.397603736359306, 8.814365799559688, 9.23112786276007, 9.647889925960452, 10.064651989160835, 10.481414052361217, 10.898176115561599, 11.314938178761981, 11.731700241962363, 12.148462305162745, 12.565224368363127, 12.98198643156351, 13.398748494763892, 13.815510557964274] | [0.0, 1.6094379124341003, 2.4849066497880004, 3.6888794541139363, 4.74493212836325, 5.8377304471659395, 6.873163834212518, 7.898411092811599, 8.869960510523953, 9.813508138916603, 10.71809987037725, 11.595969817044576, 12.447633551367645, 13.263918493690431, 14.02785278443262, 14.707088427043024, 15.17948926678407, 15.327105405547295, 15.4121225690525, 15.464434725215424, 15.497501663080083, 15.518642617852805, 15.5325022989859, 15.541442141848535, 15.547308924781532, 15.551089899380404, 15.553629418613621, 15.555318797114307, 15.556404185293594, 15.557146925055664]
Leptoria phrygia - 1556 | 11496.529868252304 | 52160.405999962524 | 2.1009585627405305 | 0 | 2.1311664995153285 | 3107195 | 57.77444 | 64.178309 | 42.286353 | [3.1632908690977355, 3.5306087894034786, 3.8979267097092207, 4.265244630014964, 4.632562550320706, 4.999880470626449, 5.367198390932192, 5.734516311237935, 6.101834231543678, 6.4691521518494195, 6.836470072155163, 7.203787992460906, 7.571105912766648, 7.938423833072391, 8.305741753378134, 8.673059673683877, 9.04037759398962, 9.407695514295362, 9.775013434601105, 10.142331354906847, 10.50964927521259, 10.876967195518333, 11.244285115824075, 11.61160303612982, 11.97892095643556, 12.346238876741305, 12.713556797047046, 13.080874717352788, 13.448192637658533, 13.815510557964274] | [1.3862943611198906, 2.302585092994046, 2.8903717578961645, 3.7612001156935624, 4.564348191467836, 5.41610040220442, 6.2422232654551655, 7.051855622955894, 7.851271997109883, 8.628376720376853, 9.41041998369184, 10.170877627969897, 10.923867992934664, 11.664951031199418, 12.381541610186902, 13.068825460472238, 13.714743918724082, 14.298912773910319, 14.600139690916787, 14.721118026455823, 14.797265007849349, 14.84633460642859, 14.878977763471129, 14.901123722929857, 14.916221642618433, 14.926436060245694, 14.933506104959937, 14.938430019096595, 14.941754550493604, 14.944144324994344]
